ward_1,hh_number,head_gender,households_no,people_no,own_dogs,dog_no,dogs_vacc,fenced,fence_restrain,shelter,rabies_aware
Lelmokwo/Ngechek,1,female,2,5,no,,,,,,1
Lelmokwo/Ngechek,2,male,1,4,yes,4,1,yes,no,no,1
Lelmokwo/Ngechek,3,male,3,10,no,,,,,,0
Lelmokwo/Ngechek,4,female,1,2,no,,,,,,0
Lelmokwo/Ngechek,5,female,1,5,no,,,,,,1
Lelmokwo/Ngechek,6,female,1,5,yes,1,0,yes,no,no,0
Lelmokwo/Ngechek,7,male,1,8,yes,1,0,yes,no,no,1
Lelmokwo/Ngechek,8,female,2,11,yes,2,0,yes,no,no,1
Lelmokwo/Ngechek,9,male,1,6,no,,,,,,1
Lelmokwo/Ngechek,10,female,1,7,no,,,,,,1
Lelmokwo/Ngechek,11,male,1,5,yes,1,0,yes,no,no,1
Lelmokwo/Ngechek,12,female,1,5,yes,2,0,no,,no,1
Lelmokwo/Ngechek,13,female,1,7,no,,,,,,1
Lelmokwo/Ngechek,14,male,1,6,yes,1,0,yes,no,no,1
Lelmokwo/Ngechek,15,female,1,9,yes,4,0,no,,no,1
Lelmokwo/Ngechek,16,male,2,5,yes,2,1,yes,yes,no,0
Lelmokwo/Ngechek,17,female,1,2,no,,,,,,1
Lelmokwo/Ngechek,18,female,1,7,no,,,,,,1
Lelmokwo/Ngechek,19,male,1,8,yes,2,1,yes,no,no,1
Kabisaga,20,male,4,8,yes,3,1,no,,yes,1
Lelmokwo/Ngechek,21,female,1,4,yes,5,0,yes,no,no,0
Lelmokwo/Ngechek,22,male,1,7,no,,,,,,0
Kabisaga,23,male,3,18,yes,2,0,no,,no,1
Kabisaga,24,female,2,7,no,,,,,,1
Lelmokwo/Ngechek,25,male,4,11,yes,1,0,yes,no,yes,1
Lelmokwo/Ngechek,26,male,1,8,yes,1,1,yes,no,no,1
Lelmokwo/Ngechek,27,female,1,8,yes,4,0,yes,no,yes,1
Lelmokwo/Ngechek,28,male,1,9,yes,2,1,yes,no,yes,0
Kabisaga,29,male,3,12,yes,1,0,no,,no,1
Kabisaga,30,female,1,2,yes,1,1,yes,no,no,1
Lelmokwo/Ngechek,31,male,1,2,no,,,,,,1
Lelmokwo/Ngechek,32,male,1,4,no,,,,,,1
Ndalat,33,male,2,7,no,,,,,,1
