"","IntDate","HousehldID","RprtSrc","Valid","AnimalsDead","AnimalsSick","CowsDied","GoatsDied","SheepDied","ChickenDied","ChicksDied","CowSick","GoatsSick","SheepSick"
"1",2014-03-19,"10-10-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"2",2014-06-18,"10-10-5","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"3",2014-07-17,"10-10-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"4",2014-09-17,"10-10-5","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"5",2014-09-24,"10-10-5","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"6",2013-07-10,"10-10-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"7",2013-07-16,"10-10-7","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"8",2013-07-22,"10-10-7","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"9",2013-07-24,"10-10-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"10",2013-11-11,"10-10-7","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"11",2013-11-13,"10-10-7","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"12",2013-11-18,"10-10-7","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"13",2013-07-03,"10-10-7","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"14",2014-03-25,"10-110-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"15",2014-09-09,"10-110-10","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"16",2013-05-20,"10-110-10","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"17",2013-07-07,"10-110-8","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"18",2013-04-16,"10-110-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"19",2013-07-09,"10-110-9","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"20",2013-02-21,"10-111-8","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"21",2013-04-18,"10-111-8","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"22",2013-05-02,"10-111-8","Household Interviews",1,"1","0","1","0","0","0","0","0","0","0"
"23",2013-05-22,"10-111-8","Toll Free Number",1,"0","1","0","0","0","0","0","0","1","0"
"24",2013-05-30,"10-111-8","Household Interviews",1,"1","0","0","1","0","0","0","0","0","0"
"25",2013-06-07,"10-111-8","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
"26",2013-06-13,"10-111-8","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"27",2014-01-30,"10-111-8","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"28",2014-05-22,"10-111-8","Household Interviews",1,"0","1","0","0","0","0","0","0","1","0"
"29",2013-05-29,"10-112-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"30",2014-04-09,"10-112-3","Household Interviews",1,"0","1","0","0","0","0","0","1","0","0"
"31",2014-04-24,"10-112-3","Household Interviews",0,"99","99","0","0","0","0","0","0","0","0"
"32",2015-01-06,"10-112-3","Toll Free Number",1,"0","1","0","0","0","0","0","1","0","0"
